"","rnk"
"ENSG00000284645",3.74024239226553
"ENSG00000253406",3.73557831913852
"UCMA",3.72828444768055
"C1orf127",3.72696559703709
"NPSR1",3.72687295750908
"ENSG00000228549",3.72464035419045
"DRD2",3.72438151659846
"LINC01093",3.72424925300435
"HTR4",3.71670883999454
"LINC03000",3.71586114840889
"MARCOL",3.71546384192884
"FABP6-AS1",3.71539919144288
"TUBA1C",3.71431597216473
"FCRL4",3.71342187839101
"EGOT",3.70982064461685
"NRAP",3.70820330885309
"ENSG00000280011",3.70810985175025
"LINC02898",3.70707023781694
"TNFRSF12A",3.70412344575776
"ATP6V0A4",3.70373171633908
"LINC01811",3.69990342328666
"LMX1A",3.69714509255335
"LINC02554",3.69678907062904
"PAX5",3.69508586752183
"SLC30A10",3.69264491324919
"IGHG3",3.69043604871003
"CASKIN1",3.6841115339623
"C12orf42",3.68314834614219
"ATP2B2",3.68202112356957
"GRIK5",3.68086099229043
"OR2A12",3.67460537951934
"ENSG00000258909",3.67224988346121
"ENSG00000260850",3.67106241455463
"GSDME",3.6667276248949
"FAM90A28P",3.66576504885721
"PIANP",3.66194648433338
"ITPR1",3.66162558123813
"SPDYE21",3.65661752303874
"GRIN3A",3.64979198188534
"LINC01517",3.64836408428523
"IGLV6-57",3.64348201454109
"ENSG00000230773",3.6422057785101
"GFI1B",3.64168662947165
"LDHA",3.63813498723149
"SYCP2L",3.63795433832048
"MIR646HG",3.63699729354915
"ENSG00000236501",3.63550474631996
"BTG1",3.63261974728513
"CHRNB2",3.62725825970352
"ENSG00000235779",3.62715005660107
"TRIML2",3.62693693669495
"TNFRSF10D",3.62410291259315
"KLHDC7B-DT",3.62205388809287
"DAB1",3.61817438406221
"BSG",3.61748459557667
"SATB1-AS1",3.61630589093344
"PRR30",3.61358919774469
"LINC02938",3.61196047210887
"LINC02086",3.61120433901904
"MEGF10",3.60947318616839
"LINC02069",3.60935469126867
"NSG2",3.60578851273735
"ENSG00000287754",3.60573628183506
"C3orf20",3.5989446339604
"LNCATV",3.59686297940907
"NBPF17P",3.59638231984383
"FBXO39",3.59611214142989
"ENSG00000280160",3.59601909652397
